split_mode,primary,comparator,seed,metric,improvement_definition,bootstrap_replicates,mean_improvement,std_improvement,ci_lower_2.5,ci_upper_97.5
official,tim_sfsa,logistic,2347,24h_tss,primary_minus_comparator,1000,0.07237049480778143,0.043971513323716405,0.009363688329755662,0.17316493601117736
official,tim_sfsa,logistic,2347,24h_hss2,primary_minus_comparator,1000,0.0023721873163555147,0.025513501144411085,-0.042854661859551904,0.055371176169674484
official,tim_sfsa,logistic,2347,24h_bss,primary_minus_comparator,1000,-0.012563039031038175,0.03169614206998415,-0.07275521560080449,0.0507808551310194
official,tim_sfsa,logistic,2347,48h_tss,primary_minus_comparator,1000,0.07164838485498311,0.03208254431699192,0.016315973999939393,0.1447957788208255
official,tim_sfsa,logistic,2347,48h_hss2,primary_minus_comparator,1000,0.010788472733139124,0.020135788890303756,-0.029399816221054045,0.05213320236881461
official,tim_sfsa,logistic,2347,48h_bss,primary_minus_comparator,1000,0.006186367807098789,0.027017875858728668,-0.041542745629198165,0.06459004724510121
official,tim_sfsa,lstm_classifier,2345,harrell_c_index,primary_minus_comparator,1000,0.008457721635691706,0.003808801517553249,0.0010932661144205796,0.015818357345022523
official,tim_sfsa,lstm_classifier,2345,uno_c_index,primary_minus_comparator,1000,0.021101696163574327,0.015043678233349145,-0.0018175081865655,0.055297449452485506
official,tim_sfsa,lstm_classifier,2345,integrated_auc,primary_minus_comparator,1000,0.002264106144441577,0.0036183958983131994,-0.004998229134355348,0.009361485827281543
official,tim_sfsa,lstm_classifier,2345,integrated_brier_score,comparator_minus_primary,1000,0.0006336210771417033,0.0012319419645728856,-0.0014584896834146995,0.0032119258554942965
official,tim_sfsa,lstm_classifier,2345,24h_tss,primary_minus_comparator,1000,0.027728693458795525,0.030844761623518808,-0.044047558668676975,0.07555961399602541
official,tim_sfsa,lstm_classifier,2345,24h_hss2,primary_minus_comparator,1000,0.17523100678497527,0.03553057771668226,0.11423224178775741,0.2544682213276217
official,tim_sfsa,lstm_classifier,2345,24h_bss,primary_minus_comparator,1000,0.013306154453966816,0.024804346936994074,-0.02762957876363196,0.05872960122669219
official,tim_sfsa,lstm_classifier,2345,48h_tss,primary_minus_comparator,1000,0.021558492066605588,0.026274433769290242,-0.031149999395609456,0.0736614281521933
official,tim_sfsa,lstm_classifier,2345,48h_hss2,primary_minus_comparator,1000,-0.017362169820501476,0.024570337505841963,-0.07102384814010379,0.02558364453544007
official,tim_sfsa,lstm_classifier,2345,48h_bss,primary_minus_comparator,1000,0.015019229700091995,0.020040841946965905,-0.022676561879458955,0.05217027026041922
official,tim_sfsa,lstm_classifier,2346,harrell_c_index,primary_minus_comparator,1000,0.009152533095129438,0.004888808662731638,-0.00015874554166256104,0.019330934136919865
official,tim_sfsa,lstm_classifier,2346,uno_c_index,primary_minus_comparator,1000,0.017142964625187263,0.021053256652306455,-0.01966851464225353,0.06734837782395578
official,tim_sfsa,lstm_classifier,2346,integrated_auc,primary_minus_comparator,1000,0.004599289310605667,0.00475601759805746,-0.004700679157094425,0.014335970440121158
official,tim_sfsa,lstm_classifier,2346,integrated_brier_score,comparator_minus_primary,1000,0.0017083487545528754,0.0016472346660268951,-0.0009111523905241054,0.005264441130555597
official,tim_sfsa,lstm_classifier,2346,24h_tss,primary_minus_comparator,1000,0.05190157481168393,0.013767939784689627,0.028769128439284652,0.07926640757929118
official,tim_sfsa,lstm_classifier,2346,24h_hss2,primary_minus_comparator,1000,0.15683660019860787,0.029375977925980783,0.10444427652978479,0.2191994403700233
official,tim_sfsa,lstm_classifier,2346,24h_bss,primary_minus_comparator,1000,0.04733625316826972,0.023717322619033383,0.003330983632094338,0.0921624352765231
official,tim_sfsa,lstm_classifier,2346,48h_tss,primary_minus_comparator,1000,0.04042501485372683,0.022953478584689564,0.004616971581212765,0.0940372618799088
