split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,lstm_classifier,24,12h_auc,0.9906083527645233,0.0012723815442878402,3
chronological,lstm_classifier,24,12h_average_precision,0.8634916737807862,0.0033672920516965026,3
chronological,lstm_classifier,24,12h_brier,0.014650816687748555,0.0003275523677287328,3
chronological,lstm_classifier,24,12h_bss,0.6060976448514684,0.008806584085562895,3
chronological,lstm_classifier,24,12h_calibration_intercept,1.1467563566489984,0.02259059844343231,3
chronological,lstm_classifier,24,12h_calibration_slope,1.590601880285,0.036382729270136915,3
chronological,lstm_classifier,24,12h_ece,0.020586484476837943,0.00013702239949580134,3
chronological,lstm_classifier,24,12h_f1,0.507318840765601,0.19421348463037602,3
chronological,lstm_classifier,24,12h_far,0.6394209723963913,0.19504655993290781,3
chronological,lstm_classifier,24,12h_fn_ipcw,0.3486184264552952,0.6038248270752854,3
chronological,lstm_classifier,24,12h_fp_ipcw,61.480918031620654,40.62113331895382,3
chronological,lstm_classifier,24,12h_hss2,0.47564192716988957,0.2100258316574711,3
chronological,lstm_classifier,24,12h_km_reference_brier,0.03719403170926477,0.0,3
chronological,lstm_classifier,24,12h_known_count,628.0,0.0,3
chronological,lstm_classifier,24,12h_observed_survival_km,0.9613497134749082,0.0,3
chronological,lstm_classifier,24,12h_precision,0.3605790276036087,0.19504655993290781,3
chronological,lstm_classifier,24,12h_predicted_survival_mean,0.9634025692939758,0.0011504933665629454,3
chronological,lstm_classifier,24,12h_recall,0.9870117391461491,0.022496327700827476,3
chronological,lstm_classifier,24,12h_threshold,0.025699516137440998,0.0063498472359271585,3
chronological,lstm_classifier,24,12h_tn_ipcw,595.5281823536274,40.62113331895391,3
chronological,lstm_classifier,24,12h_tp_ipcw,26.492421369256515,0.6038248270752847,3
chronological,lstm_classifier,24,12h_tss,0.8934347734761604,0.042223625640516294,3
chronological,lstm_classifier,24,144h_alert_fraction,0.3280590717299578,0.12278046014305032,3
chronological,lstm_classifier,24,144h_auc,0.983507198233529,0.0018137037761766534,3
chronological,lstm_classifier,24,144h_average_precision,0.9435073649610812,0.0035100960371898136,3
chronological,lstm_classifier,24,144h_brier,0.015472290772979952,0.000944474062460039,3
chronological,lstm_classifier,24,144h_bss,0.7352182565588333,0.016163055139181922,3
chronological,lstm_classifier,24,144h_calibration_intercept,-0.5722194702424801,0.040420392792245886,3
chronological,lstm_classifier,24,144h_calibration_slope,2.1505665756170385,0.048674547338451654,3
chronological,lstm_classifier,24,144h_ece,0.06884873036431724,0.005821189919090806,3
chronological,lstm_classifier,24,144h_f1,0.34704819711417034,0.1533737323161029,3
chronological,lstm_classifier,24,144h_far,0.7793780691645935,0.12371815962900995,3
chronological,lstm_classifier,24,144h_fn_ipcw,1.5178656820597682,0.6038248270752853,3
chronological,lstm_classifier,24,144h_fp_ipcw,153.61163783882387,81.54864161791734,3
chronological,lstm_classifier,24,144h_hss2,0.27901529343339726,0.17558486184462882,3
chronological,lstm_classifier,24,144h_km_reference_brier,0.05843412983047235,0.0,3
chronological,lstm_classifier,24,144h_known_count,316.0,0.0,3
chronological,lstm_classifier,24,144h_observed_survival_km,0.9473444532866776,0.0,3
chronological,lstm_classifier,24,144h_precision,0.2206219308354064,0.12371815962900998,3
chronological,lstm_classifier,24,144h_predicted_survival_mean,0.8710342645645142,0.002626376127447469,3
chronological,lstm_classifier,24,144h_recall,0.9582045913183205,0.016626705325802425,3
